-1.55014034	2.33365079	4.03405921	-4.30037401	
-1.54863266	2.38838785	4.03940659	-4.30037401	
-1.54151257	2.39901174	4.05727818	-4.30037401	
-1.52270932	2.85272253	4.05727818	-4.30037401	
-1.52270715	3.19539590	4.05727818	-4.30037401	
-1.50562207	3.22694936	4.05727818	-4.30037401	
-1.49389717	3.37276574	4.05727818	-4.30037401	
-1.49389694	3.60393760	4.05727818	-4.30037401	
-1.49389694	3.68961332	4.05809299	-4.30037401	
-1.46577585	3.71521750	4.05809299	-4.30037401	
-1.46441453	3.77202817	4.06014238	-4.04780326	
-1.46441453	3.77253019	4.06014238	-3.89857410	
-1.46441453	3.77913217	4.06014238	-3.89857410	
-1.46441453	3.98233318	4.06014238	-3.89857410	
-1.46441453	3.98841692	4.06014238	-3.84793362	
-1.46441453	4.01487618	4.06014238	-3.84752628	
-1.46441453	4.01487618	4.06014238	-3.71831157	
-1.46441453	4.04275384	4.06014238	-3.71831157	
-1.46441453	4.09012018	4.06014238	-3.51678864	
-1.46441453	4.17276280	4.06014238	-3.51678864	
-1.46441429	4.17276280	4.06014238	-3.51678864	
-1.46441429	4.21523697	4.06576546	-3.50362355	
-1.46441212	4.21523697	4.06726859	-3.46574081	
-1.46441212	4.21523697	4.06898915	-3.46574081	
-1.46441212	4.21523697	4.07190150	-3.31651166	
-1.46441212	4.21523697	4.07437011	-3.31651166	
-1.46441212	4.21523697	4.07450757	-3.14209247	
-1.46090646	4.21523697	4.07969568	-3.12183808	
-1.44560911	4.21523697	4.08216408	-3.07259988	
-1.44560911	4.23668359	4.08599646	-2.93472619	
-1.44560911	4.23668359	4.08599646	-2.93472619	
-1.44560911	4.23668359	4.08599646	-2.76249410	
-1.44560887	4.23668359	4.08681127	-2.76249410	
-1.44560887	4.23668359	4.08681127	-2.76249410	
-1.44560670	4.23668359	4.08681127	-2.76249410	
-1.44560670	4.23668359	4.08818533	-2.67079997	
-1.43368771	4.23668359	4.08886066	-2.56003003	
-1.43327270	4.23668359	4.08886066	-2.54158526	
