-4.53986334	-1.18126178	
-4.44638974	-0.99920663	
-4.37015663	-0.69080193	
-4.30719309	-0.66811673	
-4.28272246	-0.63937719	
-4.19718211	-0.36908968	
-4.17049573	-0.22256217	
-4.14407309	-0.16957444	
-4.13432693	-0.09234803	
-4.13429262	-0.08323834	
-4.06040674	-0.01770031	
-4.02029955	0.10425847	
-3.96536771	0.28459013	
-3.94859276	0.37840529	
-3.92831229	0.44626518	
-3.91643237	0.50377765	
-3.85273168	0.51229464	
-3.83752484	0.63170896	
-3.82358109	0.69548028	
-3.81818208	0.73302764	
-3.80755428	0.80533830	
-3.76524897	0.85638853	
-3.73357362	0.93472910	
-3.69850749	1.05288590	
-3.69097353	1.17320452	
-3.67734778	1.25682774	
-3.63773769	1.25927737	
-3.63278618	1.26359165	
-3.61506819	1.29400220	
-3.60236392	1.33132879	
-3.55932151	1.41061379	
-3.54646295	1.55614133	
-3.52478386	1.58934727	
-3.50065492	1.66616609	
-3.45329851	1.82498867	
-3.44784422	1.83046493	
-3.43205727	1.83745190	
-3.42605948	1.94560307	
-3.40716248	1.96125566	
-3.39314789	2.06823517	
-3.34988536	2.08394959	
-3.29446581	2.21974187	
-3.24577713	2.25802780	
-3.24034219	2.41138008	
-3.23437290	2.55776708	
-3.12344384	2.81951117	
-3.07551518	2.94640369	
-2.98931306	3.01055664	
-2.98257194	3.15341208	
-2.94616089	3.18105103	
-2.87976097	3.46915149	
-2.86737209	3.63426755	
-2.66434502	4.14688513	
-2.59209190	4.24169848	
-2.58857398	4.31073852	
-2.53137535	4.50005006	
-2.49067707	4.60836683	
-2.48635661	4.61070633	
-2.44129080	4.69110372	
-2.41079418	4.82067037	
-2.39111414	4.85986282	
-2.34120759	5.01416801	
-2.33258164	5.05065008	
-2.30760238	5.06416157	
-2.25796025	5.18127160	
-2.24185198	5.19981191	
-2.23971946	5.25912430	
-2.20619838	5.36358621	
-2.19374832	5.37359065	
-2.17999325	5.37894335	
-2.16122346	5.46191625	
-2.15293259	5.53224749	
-2.14701968	5.54072471	
-2.14455629	5.54639358	
-2.14022809	5.55460017	
-2.13267206	5.56766753	
-2.13229597	5.57721204	
-2.12782087	5.58033809	
-2.12039388	5.59887952	
-2.12039388	5.59887952	
-2.12039388	5.59887952	
-2.12039388	5.59887952	
-2.11520491	5.61282723	
-2.11357222	5.62243902	
-2.11221507	5.62447510	
-2.11206153	5.62701481	
-2.10523714	5.63460234	
-2.10199886	5.63639328	
-2.09917170	5.63798882	
-2.09917170	5.64997737	
-2.09708862	5.64997737	
-2.09708862	5.64997737	
-2.09708862	5.66265642	
-2.09454099	5.66265642	
-2.09426982	5.67294268	
-2.09204602	5.67360170	
-2.08899339	5.67360170	
-2.08872929	5.67537173	
-2.08872929	5.67750438	
-2.08833900	5.68376155	
-2.08833900	5.68376155	
-2.08833900	5.68376155	
-2.08833900	5.68376155	
-2.08227194	5.68795059	
-2.07563535	5.71447907	
-2.07182153	5.72099308	
-2.06594862	5.72232388	
-2.06594862	5.72232388	
-2.06594862	5.72232388	
-2.06554247	5.72503001	
-2.06404721	5.73681679	
-2.05751923	5.74611654	
-2.05751923	5.74611654	
-2.05506528	5.75010706	
-2.05506528	5.75010706	
-2.04058366	5.77475401	
-2.04058366	5.79357474	
-2.03569699	5.79357474	
-2.02942770	5.81011953	
-2.02327764	5.82399920	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.01274614	5.84762641	
-2.00917719	5.86484214	
-2.00417832	5.87175166	
-2.00417832	5.87175166	
-1.99200339	5.91042061	
-1.98718779	5.91934193	
-1.98718779	5.91934193	
-1.98718779	5.91934193	
-1.98718779	5.91934193	
-1.98718779	5.91934193	
-1.95540433	5.99150827	
